Source,Target
u02LTD5OS,uZQXXGWOA
uNEGKTFF4,uQHCAJB2R
uNEGC5UDR,uW0EGCZMU
u0VPS3KIG,u1OVID2L4
uDSWZC1X,uW0EGCZMU
uATZYHOYG,uONPQE2J3
uW0EGCZMU,uW0ECMV0J
uKPKRSLMN,uPKFHHZXK
u0YUOSVZJ,uUPWTTZKU
uVGJ5CCEA,uM1UWJPQV
uQSM3PGWB,uYC3ZD0VE
uATZJY5SD,uVT4QCALY
uQSMATQQC,uPA3HCHOR
uZXKPO4VT,uZ322B2C5
uHQYO5IK2,uWWBHU1DC
uHQYO5IK2,uHQYO5IK2
u1CRNF4LV,uW0EWBOJK
uDS5EZLX,uLCMN5V12
uTS2DV35F,u1CIAYH53
uY02XHU3Q,uII5BFWPK
u1CRNF4LV,u1CRTC3HV
u0AGHNDM2,uONP50GY3
uP2ZOHCA4,uW0EBQ2D4
uBIBMPJWW,uFAGRWUI
uB5N4RP3R,uII5JSU0I
uW0EKQMN2,uZQXZZTMQ
u3FTWR54Q,uZNDNNFQD
uMLLVDVIJ,uTS2BGJTI
uW0EGCZMU,uZD32XH40
uVGJ3J5QN,uPKFHHZXK
uI43HIJKW,uMLLURH5G
uNEGKTFF4,uPKFJL41E
uWWBH2QTN,uVT4WPGGH
u3FTAWSKN,uJWAAUKMY
u3FTAWSKN,uLCMYYAKC
uQHCZTIA0,uKPKA1BF5
uHQYYMGQN,u0VPDIYSF
u3JHRV3FO,uM1U5L52R
u02LMJ3OS,uB4HPMTAW
u3JHRV3FO,uHQYYHT0B
uW0EKQMN2,uZQXZZTMQ
u1CRNF4LV,u1CRTC3HV
uOQZZ5LAW,uWYNHOYGQ
uRUZTMXI,u1CR4JV0H
u1OVRZ4BR,uBIBSLSGT
uDG0FWSHT,uB5NP000N
uRSRLYSLT,uM1U1DQIR
uPKFDMMMI,uPKFDMMMI
uBIBMPJWW,uHJXY2NXY
uHQYO5IK2,uP2ZKIDTE
uBIBMPJWW,u3JH0MXES
uYC301VGR,uKPKAVK4I
uEMB0GGMM,u1CR2GW35
uHJX2VRAS,uVEQ3AAVY
uLMIO0WGK,uPVDOIESL
uBK12GHWW,uATZBDRG3
uDZTPANNG,uATZDJPPZ
uPKFDMMMI,uPKFDMMMI
u1CRNF4LV,u1CRTC3HV
uYC3R0QCQ,uK3X2QMQK
u0AGHNDM2,uVGJ3J5QN
uY042UGGV,uQSMLLH34
u3JHI1LN5,u3JHI1LN5
uTZ5V5ISC,uLCMHVII0
u02LPGHZL,uPA3LITLO
uZDQIVTCY,uP2ZJT2NF
uZXKOPO5V,uPKFKASMQ
uVGJ3J5QN,uS5WCET0B
uLCMYUXEQ,uW0EHYCX2
uRLOVBK2K,uDZTM4NR0
uKPK043JJ,u1OVXFQAG
uP2ZPWYAQ,uQSMQG1Y5
uLCMH3QZT,u0AGMB0EE
uYC33VMHT,uLCMH3QZT
uAHFMFPD0,uW0EGCZMU
u0AGJFRXZ,uW0EKQMN2
uY042UGGV,u0AGJFRXZ
uGL4MDDNW,u0AGMB0EE
uYC33VMHT,uGL4MDDNW
uTS2DV35F,uJ2OXLCCO
uPKFGDYI4,uRUZADYS
uQSMV3FA5,u0AGSIZGB
u0VPGUU5V,uW0EKQMN2
uY042UGGV,u0VPGUU5V
u5KYV2Q0W,uHQYB3H1J
uCBTKEEUY,uW0EGCZMU
uDSWZC1X,uCBTKEEUY
uTS2DQRGD,uW0EGCZMU
uGL4OQLUW,uW0EKQMN2
uY042UGGV,uGL4OQLUW
uZQXR1OJ5,uW0EGCZMU
uNEGC5UDR,uZQXR1OJ5
uR1WL5KZH,uP2ZJT2NF
uTS2JHGBB,uW0EGCZMU
uNEGC5UDR,uTS2JHGBB
